index,speaker,speaker_name,topic,text
1,moderator,MODERATOR,"question, jobs",We're calling this opening segment Achieving Prosperity.
2,moderator,MODERATOR,"question, jobs",And central to that is jobs.
3,moderator,MODERATOR,"question, economy",There are two economic realities in America today.
4,moderator,MODERATOR,"question, economy","There’s been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation."
5,moderator,MODERATOR,"question, economy, jobs","However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck."
6,moderator,MODERATOR,"question, economy, jobs","Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?"
7,clinton,CLINTON,misc," Well, thank you, Lester, and thanks to Hofstra for hosting us."
8,clinton,CLINTON,future,The central question in this election is really what kind of country we want to be and what kind of future we’ll build together.
9,clinton,CLINTON,misc,"Today is my granddaughter’s second birthday, so I think about this a lot."
10,clinton,CLINTON,economy,"First, we have to build an economy that works for everyone, not just those at the top."
11,clinton,CLINTON,jobs,"That means we need new jobs, good jobs, with rising incomes."
12,clinton,CLINTON,economy,I want us to invest in you.
13,clinton,CLINTON,economy,I want us to invest in your future.
14,clinton,CLINTON,jobs,"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business."
15,clinton,CLINTON,economy,We also have to make the economy fairer.
16,clinton,CLINTON,jobs,"That starts with raising the national minimum wage and also guarantee, finally, equal pay for women’s work."
17,clinton,CLINTON,jobs, I also want to see more companies do profit-sharing.
18,clinton,CLINTON,jobs,"If you help create the profits, you should be able to share in them, not just the executives at the top."
19,clinton,CLINTON,jobs,And I want us to do more to support people who are struggling to balance family and work.
20,clinton,CLINTON,jobs,I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under.
21,clinton,CLINTON,jobs,"So let’s have paid family leave, earned sick days."
22,clinton,CLINTON,jobs,Let’s be sure we have affordable child care and debt-free college.
23,clinton,CLINTON,jobs,How we’re going to do it?
24,clinton,CLINTON,jobs,We’re going to do it by having the wealthy pay their fair share and close the corporate loopholes.
25,clinton,CLINTON,trump,"Finally, we tonight are on the stage together, Donald Trump and I."
26,clinton,CLINTON,trump,"Donald, it’s good to be with you."
27,clinton,CLINTON,"trump, america",We’re going to have a debate where we are talking about the important issues facing our country.
28,clinton,CLINTON,trump,"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better."
29,clinton,CLINTON,misc,I hope that I will be able to earn your vote on November 8th.
30,moderator,MODERATOR,h-clinton," Secretary Clinton, thank you."
31,moderator,MODERATOR,"trump, jobs","Mr. Trump, the same question to you."
32,moderator,MODERATOR,"question, jobs","It’s about putting money, more money into the pockets of American workers."
33,moderator,MODERATOR,misc,You have up to two minutes.
34,trump,TRUMP,misc," Thank you, Lester."
35,trump,TRUMP,jobs,Our jobs are fleeing the country.
36,trump,TRUMP,"jobs, mexico",They’re going to Mexico.
37,trump,TRUMP,jobs,They’re going to many other countries.
38,trump,TRUMP,"china, economy",You look at what China is doing to our country in terms of making our product.
39,trump,TRUMP,"china, economy","They’re devaluing their currency, and there’s nobody in our government to fight them."
40,trump,TRUMP,economy,And we have a very good fight.
41,trump,TRUMP,economy,And we have a winning fight.
42,trump,TRUMP,"china, america, economy","Because they’re using our country as a piggy bank to rebuild China, and many other countries are doing the same thing."
43,trump,TRUMP,jobs,"So we’re losing our good jobs, so many of them."
44,trump,TRUMP,"mexico, jobs","When you look at what’s happening in Mexico, a friend of mine who builds plants said it’s the eighth wonder of the world."
45,trump,TRUMP,"mexico, jobs","They’re building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants."
46,trump,TRUMP,america,"With the United States, as he said, not so much."
47,trump,TRUMP,jobs,So Ford is leaving.
48,trump,TRUMP,jobs,"You see that, their small car division leaving."
49,trump,TRUMP,jobs,"Thousands of jobs leaving Michigan, leaving Ohio."
50,trump,TRUMP,jobs,They’re all leaving.
51,trump,TRUMP,jobs,And we can’t allow it to happen anymore.
52,trump,TRUMP,jobs,"As far as child care is concerned and so many other things, I think Hillary and I agree on that."
53,trump,TRUMP,jobs,"We probably disagree a little bit as to numbers and amounts and what we’re going to do, but perhaps we’ll be talking about that later."
54,trump,TRUMP,jobs,But we have to stop our jobs from being stolen from us.
55,trump,TRUMP,jobs,"We have to stop our companies from leaving the United States and, with it, firing all of their people."
56,trump,TRUMP,jobs,All you have to do is take a look at Carrier air conditioning in Indianapolis.
57,trump,TRUMP,jobs,"They left fired 1,400 people."
58,trump,TRUMP,"jobs, mexico",They’re going to Mexico.
59,trump,TRUMP,jobs,So many hundreds and hundreds of companies are doing this.
60,trump,TRUMP,jobs, We cannot let it happen.
61,trump,TRUMP,taxes,"Under my plan, I’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses."
62,trump,TRUMP,jobs,That’s going to be a job creator like we haven’t seen since Ronald Reagan.
63,trump,TRUMP,jobs,It’s going to be a beautiful thing to watch.
64,trump,TRUMP,jobs,Companies will come.
65,trump,TRUMP,jobs,They will build.
66,trump,TRUMP,jobs,They will expand.
67,trump,TRUMP,jobs,New companies will start.
68,trump,TRUMP,jobs,"And I look very, very much forward to doing it."
69,trump,TRUMP,trade,"We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs."
70,moderator,MODERATOR,h-clinton," Secretary Clinton, would you like to respond?"
71,clinton,CLINTON,trade," Well, I think that trade is an important issue."
72,clinton,CLINTON,trade,"Of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent."
73,clinton,CLINTON,trade,"And we need to have smart, fair trade deals."
74,clinton,CLINTON,taxes,"We also, though, need to have a tax system that rewards work and not just financial transactions."
75,clinton,CLINTON,economy,And the kind of plan that Donald has put forth would be trickle-down economics all over again.
76,clinton,CLINTON,economy,"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we’ve ever had."
77,clinton,CLINTON,economy,"I call it trumped-up trickle-down, because that’s exactly what it would be."
78,clinton,CLINTON,economy,That is not how we grow the economy.
