index,speaker_name,speaker,topic,text
1,MODERATOR,moderator,question,We're going to begin with a question from one of the members in our town hall.
2,MODERATOR,moderator,question,Each of you will have two minutes to respond to this question.
3,MODERATOR,moderator,question,"Secretary Clinton, you won the coin toss, so you'll go first."
4,MODERATOR,moderator,question,Our first question comes from Patrice Brock.
5,MODERATOR,moderator,question," Thank you, and good evening."
6,MODERATOR,moderator,question,"The last debate could have been rated as MA, mature audiences, per TV parental guidelines."
7,MODERATOR,moderator,education,"Knowing that educators assign viewing the presidential debates as students' homework, do you feel you're modeling appropriate and positive behavior for today's youth?"
8,CLINTON,clinton,education,"Yes, I think that that's a very good question, because I've heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign."
9,CLINTON,clinton,"children, america",And I think it is very important for us to make clear to our children that our country really is great because we're good.
10,CLINTON,clinton,children,"And we are going to respect one another, lift each other up."
11,CLINTON,clinton,diversity,"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country."
12,CLINTON,clinton,future,I have a very positive and optimistic view about what we can do together.
13,CLINTON,clinton,"education, economy","That's why the slogan of my campaign is 'Stronger Together,' because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals - and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else."
14,CLINTON,clinton,future,"If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do."
15,CLINTON,clinton,children,So that's why I hope that we will come together in this campaign.
16,CLINTON,clinton,election,"Obviously, I'm hoping to earn your vote, I'm hoping to be elected in November, and I can promise you, I will work with every American."
17,CLINTON,clinton,diversity,"I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion."
18,CLINTON,clinton,future,"I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve."
19,MODERATOR,moderator,question,"Secretary Clinton, thank you."
20,MODERATOR,moderator,question,"Mr. Trump, you have two minutes."
21,TRUMP,trump,education," Well, I actually agree with that."
22,TRUMP,trump,education,I agree with everything she said.
23,TRUMP,trump,america,I began this campaign because I was so tired of seeing such foolish things happen to our country.
24,TRUMP,trump,america,This is a great country.
25,TRUMP,trump,america,This is a great land.
26,TRUMP,trump,america,I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician.
27,TRUMP,trump,trump,"I cannot believe I'm saying that about myself, but I guess I have been a politician."
28,TRUMP,trump,america, And my whole concept was to make America great again.
29,TRUMP,trump,"healthcare, trade, terrorism","When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago."
30,TRUMP,trump,"america, trade","When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it's in business and trade, where we're doing so badly."
31,TRUMP,trump,"trade, deficit","Last year, we had almost $800 billion trade deficit."
32,TRUMP,trump,trade,"In other words, trading with other countries."
33,TRUMP,trump,"trade, deficit",We had an $800 billion deficit.
34,TRUMP,trump,trade,It's hard to believe.
35,TRUMP,trump,trade,You say who's making these deals?
36,TRUMP,trump,trade,We're going the make great deals.
37,TRUMP,trump,"immigration, border",We're going to have a strong border.
38,TRUMP,trump,police,We're going to bring back law and order.
39,TRUMP,trump,police,"Just today, policemen was shot, two killed."
40,TRUMP,trump,police,And this is happening on a weekly basis.
41,TRUMP,trump,police,We have to bring back respect to law enforcement.
42,TRUMP,trump,police,"At the same time, we have to take care of people on all sides."
43,TRUMP,trump,justice,We need justice.
44,TRUMP,trump,"diversity, cities","But I want to do things that haven't been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it."
45,TRUMP,trump,america,It's called make America great again.
46,MODERATOR,moderator,question," Thank you, Mr. Trump."
47,MODERATOR,moderator,question,The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth?
48,MODERATOR,moderator,sexual-harassment,"We received a lot of questions online, Mr. Trump, about the tape that was released on Friday, as you can imagine."
49,MODERATOR,moderator,sexual-harassment,You called what you said locker room banter.
50,MODERATOR,moderator,sexual-harassment,"You described kissing women without consent, grabbing their genitals."
51,MODERATOR,moderator,sexual-harassment,That is sexual assault.
52,MODERATOR,moderator,sexual-harassment,You bragged that you have sexually assaulted women.
53,MODERATOR,moderator,sexual-harassment,Do you understand that?
54,TRUMP,trump,sexual-harassment,I don't think you understood what was ' this was locker room talk.
55,TRUMP,trump,sexual-harassment,I'm not proud of it.
56,TRUMP,trump,sexual-harassment,I apologize to my family.
57,TRUMP,trump,sexual-harassment,I apologize to the American people.
58,TRUMP,trump,sexual-harassment,Certainly I'm not proud of it.
59,TRUMP,trump,sexual-harassment,But this is locker room talk.
60,TRUMP,trump,"terrorism, isis","You know, when we have a world where you have ISIS chopping off heads, where you have ' and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times."
61,TRUMP,trump,terrorism,"We haven't seen anything like this, the carnage all over the world."
62,TRUMP,trump,terrorism,"Can you imagine the people that are, frankly, doing so well against us with ISIS?"
63,TRUMP,trump,terrorism,And they look at our country and they see what's going on.
64,TRUMP,trump,sexual-harassment,"Yes, I'm very embarrassed by it."
65,TRUMP,trump,sexual-harassment,"But it's locker room talk, and it's one of those things."
66,TRUMP,trump,"terrorism, isis",I will knock the hell out of ISIS.
67,TRUMP,trump,"terrorism, isis",We're going to defeat ISIS.
68,TRUMP,trump,"terrorism, isis",ISIS happened a number of years ago in a vacuum that was left because of bad judgment.
69,TRUMP,trump,"terrorism, isis","And I will tell you, I will take care of ISIS."
70,MODERATOR,moderator,misc," So, Mr. Trump..."
71,TRUMP,trump,misc, And we should get on to much more important things and much bigger things.
72,MODERATOR,moderator,sexual-harassment,"Just for the record, though, are you saying that what you said on that bus 11 years ago that you did not actually kiss women without consent or grope women without consent?"
73,TRUMP,trump,women, I have great respect for women.
74,TRUMP,trump,women,Nobody has more respect for women than I do.
75,MODERATOR,moderator,sexual-harassment," So, for the record, you're saying you never did that?"
76,TRUMP,trump,sexual-harassment," I've said things that, frankly, you hear these things I said."
77,TRUMP,trump,sexual-harassment,And I was embarrassed by it.
78,TRUMP,trump,women,But I have tremendous respect for women.
79,MODERATOR,moderator,sexual-harassment, Have you ever done those things?
80,TRUMP,trump,women, And women have respect for me.
81,TRUMP,trump,"america, safety",And I will tell you that I'm going to make our country safe.
82,TRUMP,trump,immigration,"We're going to have borders in our country, which we don't have now."
83,TRUMP,trump,immigration,"People are pouring into our country, and they're coming in from the Middle East and other places."
84,TRUMP,trump,"america, safety",We're going to make America safe again.
85,TRUMP,trump,"america, safety","We're going to make America great again, but we're going to make America safe again."
86,TRUMP,trump,"america, jobs","And we're going to make America wealthy again, because if you don't do that, it just - it sounds harsh to say, but we have to build up the wealth of our nation."
87,MODERATOR,moderator,misc," Thank you, Mr. Trump."
88,TRUMP,trump,jobs," Right now, other nations are taking our jobs and they're taking our wealth."
89,MODERATOR,moderator,misc," Thank you, Mr. Trump."
90,TRUMP,trump,misc, And that's what I want to talk about.
91,MODERATOR,moderator,misc," Secretary Clinton, do you want to respond?"
92,CLINTON,clinton,sexual-harassment,"Well, like everyone else, I've spent a lot of time thinking over the last 48 hours about what we heard and saw."
93,CLINTON,clinton,trump,"You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve."
94,CLINTON,clinton,trump,Donald Trump is different.
95,CLINTON,clinton,trump,I said starting back in June that he was not fit to be president and commander-in-chief.
96,CLINTON,clinton,trump,And many Republicans and independents have said the same thing.
97,CLINTON,clinton,"sexual-harassment, women","What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women."
98,CLINTON,clinton,trump,And he has said that the video doesn't represent who he is.
99,CLINTON,clinton,sexual-harassment,But I think it's clear to anyone who heard it that it represents exactly who he is.
100,CLINTON,clinton,"sexual-harassment, women",We have seen him insult women.
101,CLINTON,clinton,"sexual-harassment, women","We've seen him rate women on their appearance, ranking them from one to ten."
102,CLINTON,clinton,"sexual-harassment, women",We've seen him embarrass women on TV and on Twitter.
103,CLINTON,clinton,"sexual-harassment, women","We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms."
104,CLINTON,clinton,trump,"So, yes, this is who Donald Trump is."
105,CLINTON,clinton,"trump, diversity, women","But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others."
106,CLINTON,clinton,trump,So this is who Donald Trump is.
107,CLINTON,clinton,america,"And the question for us, the question our country must answer is that this is not who we are."
108,CLINTON,clinton,"children, diversity, america","That's why - to go back to your question - I want to send a message to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity."
109,CLINTON,clinton,america," These are very important values to me, because this is the America that I know and love."
110,CLINTON,clinton,"america, election",And I can pledge to you tonight that this is the America that I will serve if I'm so fortunate enough to become your president.
111,MODERATOR,moderator,question, And we want to get to some questions from online...
112,TRUMP,trump,misc, Am I allowed to respond to that?
113,MODERATOR,moderator,misc," Yes, you can respond to that."
114,TRUMP,trump,misc," It's just words, folks."
115,TRUMP,trump,misc,It's just words.
116,TRUMP,trump,misc,"Those words, I've been hearing them for many years."
117,TRUMP,trump,"h-clinton, jobs","I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed."
118,TRUMP,trump,"h-clinton, education, jobs, safety, cities","I've heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education-wise, jobwise, safety-wise, in every way possible."
119,TRUMP,trump,diversity,I'm going to help the African-Americans.
120,TRUMP,trump,diversity,"I'm going to help the Latinos, Hispanics."
121,TRUMP,trump,cities,I am going to help the inner cities.
122,TRUMP,trump,"diversity, h-clinton",She's done a terrible job for the African-Americans.
123,TRUMP,trump,"diversity, h-clinton","She wants their vote, and she does nothing, and then she comes back four years later."
124,TRUMP,trump,"diversity, h-clinton",We saw that firsthand when she was United States senator.
125,TRUMP,trump,"diversity, h-clinton",She campaigned where the primary part of her campaign...
126,MODERATOR,moderator,question," Mr. Trump, Mr. Trump - I want to get to audience questions and online questions."
127,TRUMP,trump,question," So, she's allowed to do that, but I'm not allowed to respond?"
128,MODERATOR,moderator,question,You're going to have -- you're going to get to respond right now.
129,TRUMP,trump,question, Sounds fair.
130,MODERATOR,moderator,"sexual-harassment, women", This tape is generating intense interest.
131,MODERATOR,moderator,"sexual-harassment, women","In just 48 hours, it's become the single most talked about story of the entire 2016 election on Facebook, with millions and millions of people discussing it on the social network."
132,MODERATOR,moderator,question,"As we said a moment ago, we do want to bring in questions from voters around country via social media, and our first stays on this topic."
133,MODERATOR,moderator,question,"Jeff from Ohio asks on Facebook, 'Trump says the campaign has changed him."
134,MODERATOR,moderator,question,When did that happen?'
135,MODERATOR,moderator,question,"So, Mr. Trump, let me add to that."
136,MODERATOR,moderator,"sexual-harassment, question","When you walked off that bus at age 59, were you a different man or did that behavior continue until just recently?"
137,MODERATOR,moderator,"sexual-harassment, question",And you have two minutes for this.
138,TRUMP,trump,sexual-harassment," It was locker room talk, as I told you."
139,TRUMP,trump,sexual-harassment,That was locker room talk.
140,TRUMP,trump,sexual-harassment,I'm not proud of it.
141,TRUMP,trump,"sexual-harassment, america","I am a person who has great respect for people, for my family, for the people of this country."
142,TRUMP,trump,sexual-harassment,"And certainly, I'm not proud of it."
143,TRUMP,trump,sexual-harassment,But that was something that happened.
144,TRUMP,trump,"b-clinton, sexual-harassment","If you look at Bill Clinton, far worse."
145,TRUMP,trump,"b-clinton, sexual-harassment","Mine are words, and his was action."
146,TRUMP,trump,"b-clinton, sexual-harassment",His was what he's done to women.
