,speaker,topic,episode_id,episode_name,category,text
0,2,uncategorized,uncategorized,uncategorized,uncategorized," Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas. I'm Chris Wallace of Fox News, and I welcome you to the third and final of the 2016 presidential debates between Secretary of State Hillary Clinton and Donald J. Trump.
"
1,2,uncategorized,uncategorized,uncategorized,uncategorized, This debate is sponsored by the Commission on Presidential Debates. The commission has designed the format
2,2,uncategorized,uncategorized,uncategorized,uncategorized,"For the record, I decided the topics and the questions in each topic. None of those questions has been shared with the commission or the two candidates. The audience here in the hall has promised to remain silent. No cheers, boos, or other interruptions so we and you can focus on what the candidates have to say.
"
3,2,uncategorized,uncategorized,uncategorized,uncategorized," No noise, except right now, as we welcome the Democratic nominee for president, Secretary Clinton, and the Republican nominee for president, Mr. Trump.
"
4,2,uncategorized,uncategorized,uncategorized,uncategorized,"(APPLAUSE)
"
5,2,uncategorized,uncategorized,uncategorized,uncategorized,"Secretary Clinton, Mr. Trump, welcome. Let's get right to it. The first topic is the Supreme Court.
"
6,2,uncategorized,uncategorized,uncategorized,uncategorized,"You both talked briefly about the court in the last debate, but I want to drill down on this, because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments.
"
7,2,uncategorized,uncategorized,uncategorized,uncategorized," Which means that you will, in effect, determine the balance of the court for what could be the next quarter century.
"
8,2,uncategorized,uncategorized,uncategorized,uncategorized,"First of all, where do you want to see the court take the country? And secondly, what's your view on how the Constitution should be interpreted? Do the founders' words mean what they say or is it a living document to be applied flexibly according to changing circumstances? In this segment, Secretary Clinton, you go first. You have two minutes.
"
9,3,uncategorized,uncategorized,uncategorized,uncategorized," Thank you very much, Chris. And thanks to UNLV for hosting us.
"
10,3,uncategorized,uncategorized,uncategorized,uncategorized,"You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be? What kind of opportunities will we provide for our citizens? What kind of rights will Americans have?
"
11,3,uncategorized,uncategorized,uncategorized,uncategorized,"And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy. For me, that means that we need a Supreme Court that will stand up on behalf of women's rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system.
"
12,3,uncategorized,uncategorized,uncategorized,uncategorized,"I have major disagreements with my opponent about these issues and others that will be before the Supreme Court. But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us.
"
13,3,uncategorized,uncategorized,uncategorized,uncategorized,"That's how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful, standing up on behalf of our rights as Americans.
"
14,3,uncategorized,uncategorized,uncategorized,uncategorized,"And I look forward to having that opportunity. I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them. That's the way the Constitution fundamentally should operate. The president nominates, and then the Senate advises and consents, or not, but they go forward with the process.
"
15,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton, thank you.
"
16,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump, same question. Where do you want to see the court take the country? And how do you believe the Constitution should be interpreted?
"
17,1,uncategorized,uncategorized,uncategorized,uncategorized," Well, first of all, it's great to be with you, and thank you, everybody. The Supreme Court"
18,1,uncategorized,uncategorized,uncategorized,uncategorized,"Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent. And she was forced to apologize. And apologize she did. But these were statements that should never, ever have been made.
"
19,1,uncategorized,uncategorized,uncategorized,uncategorized,"We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege. I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now. But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma.
"
20,1,uncategorized,uncategorized,uncategorized,uncategorized,"I feel that the justices that I am going to appoint – and I've named 20 of them – the justices that I'm going to appoint will be pro-life. They will have a conservative bent. They will be protecting the Second Amendment. They are great scholars in all cases, and they're people of tremendous respect. They will interpret the Constitution the way the founders wanted it interpreted. And I believe that's very, very important.
"
21,1,uncategorized,uncategorized,uncategorized,uncategorized,"I don't think we should have justices appointed that decide what they want to hear. It's all about the Constitution of – of – and so important, the Constitution the way it was meant to be. And those are the people that I will appoint.
"
22,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump, thank you.
"
23,2,uncategorized,uncategorized,uncategorized,uncategorized," We now have about 10 minutes for an open discussion. I want to focus on two issues that, in fact, by the justices that you name could end up changing the existing law of the land. First is one that you mentioned, Mr. Trump, and that is guns.
"
