speaker,topic,episode_id,episode_name,episode_subdivision,text
2,uncategorized,uncategorized,uncategorized,uncategorized,"Good evening, I'm John Dickerson of CBS News in Des Moines, Iowa. The debate you've tuned in to see tonight is a symbol of the freedom we all cherish. Last night the world watched in horror as freedom was savagely attacked in the heart of Paris. At least 129 people were killed and many more wounded in a coordinated series of terror attacks. Tonight, as France mourns, so does America."
2,uncategorized,uncategorized,uncategorized,uncategorized,So before we begin tonight's second debate with these candidates for the Democratic presidential nomination we ask you to join us in observing a moment of silence. (LONG PAUSE)
2,uncategorized,uncategorized,uncategorized,uncategorized,"Now please welcome to Drake University Former Secretary of State Hillary Clinton, (CHEERING), Senator Bernie Sanders of Vermont. (CHEERING) and-- and Martin O'Malley, the former governor of Maryland. (CHEERING)"
2,uncategorized,uncategorized,uncategorized,uncategorized,"Joining me in the questioning tonight are CBS News congressional correspondent, Nancy Cordes, anchor Kevin Cooney of our CBS Des Moines affiliate, KCCI and political columnist, Kathie Obradovich of The Des Moines Register. (APPLAUSE) Twitter is another of our partners for this debate. Tweets will help us follow the reactions to what the candidates say. So please send us your comments using the hashtag DemDebate. And we'll begin in just a moment."
2,uncategorized,uncategorized,uncategorized,uncategorized,(COMMERCIAL NOT TRANSCRIBED)
2,uncategorized,uncategorized,uncategorized,uncategorized,[Video Intro]
4,uncategorized,uncategorized,uncategorized,uncategorized,This is a people's campaign.
1,uncategorized,uncategorized,uncategorized,uncategorized,I am a real person with all the pluses and minuses that go along with that.
3,uncategorized,uncategorized,uncategorized,uncategorized,(UNINTEL) your own hardware
1,uncategorized,uncategorized,uncategorized,uncategorized,I'm running to help American families get a raise.
4,uncategorized,uncategorized,uncategorized,uncategorized,The American people are sick and tired of hearing about the damn unit emails. (LAUGHTER)
1,uncategorized,uncategorized,uncategorized,uncategorized,"We are dead wrong for 21st century America. We're going forward, we're not going back."
1,uncategorized,uncategorized,uncategorized,uncategorized,[Video ends]
