index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
0,0.7,0.6000000000000001,,moderator,Moderator,Good evening.,False,False,False,False,[],False,[],False,,False,,False,[],['good evening'],[],[],introduction,['misc'],[]
1,0.215625,0.5,,moderator,Moderator,The television and radio stations of the United States and their affiliated stations are proud to provide facilities for a discussion of issues in the current political campaign by the two major candidates for the presidency.,False,False,False,False,[],False,[],False,,False,,False,[],"['radio stations', 'current political campaign', 'major candidates']",[],[],introduction,['misc'],[]
2,0.0,0.0,,moderator,Moderator,The candidates need no introduction.,False,False,False,False,[],False,[],False,,False,,False,[],['candidates need'],[],[],introduction,['misc'],[]
3,0.0,0.0,,moderator,Moderator,"The Republican candidate, Vice President Richard M. Nixon, and the Democratic candidate, Senator John F. Kennedy.",False,False,False,False,[],False,[],False,,False,,True,"['nixon', 'kennedy']","['republican', 'vice president', 'richard m. nixon', 'democratic candidate', 'john f. kennedy']",[],[],introduction,['misc'],[]
4,-0.4,0.6,,moderator,Moderator,"According to rules set by the candidates themselves, each man shall make an opening statement of approximately eight minutes' duration and a closing statement of approximately three minutes' duration.",False,False,False,False,[],False,[],False,,False,,False,[],"['according', 'opening statement']",[],[],introduction,['misc'],[]
5,0.0,0.0,,moderator,Moderator,"In between the candidates will answer, or comment upon answers to questions put by a panel of correspondents.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],introduction,['misc'],[]
6,0.0625,0.10833333333333334,,moderator,Moderator,"In this, the first discussion in a series of four uh - joint appearances, the subject-matter has been agreed, will be restricted to internal or domestic American matters.",False,False,False,False,[],False,[],False,,False,,False,[],"['joint appearances', 'domestic american matters']",[],[],introduction,['misc'],[]
7,0.25,0.3333333333333333,,moderator,Moderator,And now for the first opening statement by Senator John F. Kennedy.,False,False,False,False,[],False,[],False,,False,,True,['kennedy'],['john f. kennedy'],[],[],question,['misc'],[]
8,0.0,0.0,,kennedy,Kennedy,"Mr. Smith, Mr. Nixon.",False,False,True,False,[],False,[],False,,False,,True,['nixon'],[],[],[],nixon,['misc'],[]
9,0.0,0.0,,kennedy,Kennedy,"In the election of 1860, Abraham Lincoln said the question was whether this nation could exist half-slave or half-free.",False,False,False,False,[],False,[],False,,False,,False,[],['abraham lincoln'],[],[],"lincoln, slavery",['misc'],[]
10,0.0,0.0,,kennedy,Kennedy,"In the election of 1960, and with the world around us, the question is whether the world will exist half-slave or half-free, whether it will move in the direction of freedom, in the direction of the road that we are taking, or whether it will move in the direction of slavery.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],"slavery, freedom",['misc'],[]
11,0.6666666666666666,0.85,,kennedy,Kennedy,"I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain.",False,False,False,False,[],False,[],False,,False,,False,[],['great measure'],[],[],america,['misc'],[]
12,0.05,0.25,,kennedy,Kennedy,"We discuss tonight domestic issues, but I would not want that to be any implication to be given that this does not involve directly our struggle with Mr. Khrushchev for survival.",False,False,False,False,[],False,[],False,,False,,False,[],['domestic issues'],[],[],nikita,['misc'],[]
13,0.11688311688311688,0.29437229437229434,,kennedy,Kennedy,"Mr. Khrushchev is in New York, and he maintains the Communist offensive throughout the world because of the productive power of the Soviet Union itselF. The Chinese Communists have always had a large population.",False,False,False,False,[],False,[],False,,False,,False,[],"['york', 'productive power', 'soviet union itself', 'large population']",[],[],"nikita, china",['misc'],[]
14,0.115625,0.85,,kennedy,Kennedy,But they are important and dangerous now because they are mounting a major effort within their own country.,False,False,False,False,[],False,[],False,,False,,False,[],"['major effort', 'own country']",[],[],china,['misc'],[]
15,0.6,0.9,,kennedy,Kennedy,"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],"america, freedom",['misc'],[]
16,0.4,0.6,,kennedy,Kennedy,"If we do well here, if we meet our obligations, if we're moving ahead, then I think freedom will be secure around the world.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],freedom,['misc'],[]
17,-0.5,0.29999999999999993,,kennedy,Kennedy,"If we fail, then freedom fails.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],freedom,['misc'],[]
18,0.11833333333333335,0.458125,,kennedy,Kennedy,"Therefore, I think the question before the American people is: Are we doing as much as we can do? Are we as strong as we should be? Are we as strong as we must be if we're going to maintain our independence, and if we're going to maintain and hold out the hand of friendship to those who look to us for assistance, to those who look to us for survival? I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.",False,False,False,False,[],False,[],False,,False,,False,[],"['american people', ""'re making""]",[],[],economy,['misc'],[]
19,0.48,0.75,,kennedy,Kennedy,"This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country.",False,False,False,False,[],False,[],False,,False,,False,[],"['great country', 'powerful country', 'powerful country']",[],[],america,['misc'],[]
20,-0.25,1.0,,kennedy,Kennedy,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,False,False,False,False,[],False,[],False,,False,,False,[],['steel-mill capacity'],[],[],"steel, economy",['misc'],[]
21,0.0031250000000000028,0.44166666666666665,,kennedy,Kennedy,I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world.,False,False,False,False,[],False,[],False,,False,,False,[],['economic growth'],[],[],economy,['misc'],[]
22,0.39999999999999997,0.48333333333333334,,kennedy,Kennedy,Because economic growth means strength and vitality; it means we're able to sustain our defenses; it means we're able to meet our commitments abroad.,False,False,False,False,[],False,[],False,,False,,False,[],['economic growth'],[],[],"economy, trade",['misc'],[]
23,0.016666666666666663,0.5,,kennedy,Kennedy,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual.",False,False,False,False,[],False,[],False,,False,,False,[],"['dollars worth', 'hungry world', 'food package']",[],[],food,['misc'],[]
