index,speaker_name,speaker,topic,text
0,KELLY,KELLY,uncategorized,"It is nine p.m. on the East Coast, and the moment of truth has arrived."
1,KELLY,KELLY,uncategorized,"Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio."
2,KELLY,KELLY,uncategorized,I’m Megyn Kelly…
3,KELLY,KELLY,uncategorized,(APPLAUSE)
4,KELLY,KELLY,uncategorized,"… along with my co-moderators, Brett Baier and Chris Wallace."
5,KELLY,KELLY,uncategorized,Tonight…
6,KELLY,KELLY,uncategorized,(APPLAUSE)
7,KELLY,KELLY,uncategorized,Nice.
8,KELLY,KELLY,uncategorized,"Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered."
9,BAIER,BAIER,uncategorized,"Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party’s nomination."
10,BAIER,BAIER,uncategorized,(APPLAUSE)
11,BAIER,BAIER,uncategorized,"Tonight’s candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10."
12,WALLACE,WALLACE,uncategorized,"Also of note, Fox News is partnering for tonight’s debate with Facebook. For the past several weeks, we’ve been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions some of which you will hear us asking the candidates tonight."
13,KELLY,KELLY,uncategorized,As for the candidates who will be answering those questions? Here they are.
14,KELLY,KELLY,uncategorized,"Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump."
15,KELLY,KELLY,uncategorized,(APPLAUSE)
16,KELLY,KELLY,uncategorized,Former Florida Governor Jeb Bush.
17,KELLY,KELLY,uncategorized,(APPLAUSE)
18,KELLY,KELLY,uncategorized,Wisconsin Governor Scott Walker.
19,KELLY,KELLY,uncategorized,(APPLAUSE)
20,KELLY,KELLY,uncategorized,Former Arkansas Governor Mike Huckabee.
21,KELLY,KELLY,uncategorized,(APPLAUSE)
22,BAIER,BAIER,uncategorized,"Neurosurgeon, Dr. Ben Carson."
23,BAIER,BAIER,uncategorized,(APPLAUSE)
24,BAIER,BAIER,uncategorized,Texas Senator Ted Cruz.
25,BAIER,BAIER,uncategorized,(APPLAUSE)
26,BAIER,BAIER,uncategorized,Florida Senator Marco Rubio.
27,BAIER,BAIER,uncategorized,(APPLAUSE)
28,WALLACE,WALLACE,uncategorized,Kentucky Senator Rand Paul.
29,WALLACE,WALLACE,uncategorized,(APPLAUSE)
30,WALLACE,WALLACE,uncategorized,New Jersey Governor Chris Christie.
31,WALLACE,WALLACE,uncategorized,(APPLAUSE) And your very own governor of Ohio…
32,WALLACE,WALLACE,uncategorized,(APPLAUSE)
33,WALLACE,WALLACE,uncategorized,… John Kasich.
34,WALLACE,WALLACE,uncategorized,(APPLAUSE)
35,WALLACE,WALLACE,uncategorized,"Brett — Brett, I think you would call that a home field advantage."
36,BAIER,BAIER,uncategorized,It might be. It might be. We’ll see.
37,(UNKNOWN),(UNKNOWN),uncategorized,Is this in the rules? An objection’s coming.
38,BAIER,BAIER,uncategorized,"It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you’ll hear this."
39,BAIER,BAIER,uncategorized,"Pleasant, no?"
40,BAIER,BAIER,uncategorized,"We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned."
41,BAIER,BAIER,uncategorized,And while we expect them…
42,BAIER,BAIER,uncategorized,(APPLAUSE)
43,BAIER,BAIER,uncategorized,"… we expect them to be enthusiastic, as you heard, we don’t want to take anything away from the valuable time for the candidate. So, we’re looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street."
44,BAIER,BAIER,uncategorized,(LAUGHTER)
45,BAIER,BAIER,uncategorized,"Somewhere there, we’ll find a balance tonight."
46,BAIER,BAIER,uncategorized,"Without further ado, let’s begin."
47,BAIER,BAIER,uncategorized,"Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person."
48,BAIER,BAIER,uncategorized,"Again, we’re looking for you to raise your hand now — raise your hand now if you won’t make that pledge tonight."
49,BAIER,BAIER,uncategorized,Mr. Trump.
50,BAIER,BAIER,uncategorized,(BOOING)
51,BAIER,BAIER,uncategorized,"Mr. Trump to be clear, you’re standing on a Republican primary debate stage."
52,TRUMP,TRUMP,uncategorized,I fully understand.
53,BAIER,BAIER,uncategorized,The place where the RNC will give the nominee the nod.
54,TRUMP,TRUMP,uncategorized,I fully understand.
55,BAIER,BAIER,uncategorized,And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.
56,BAIER,BAIER,uncategorized,You can’t say tonight that you can make that pledge?
57,TRUMP,TRUMP,uncategorized,"I cannot say. I have to respect the person that, if it’s not me, the person that wins, if I do win, and I’m leading by quite a bit, that’s what I want to do. I can totally make that pledge. If I’m the nominee, I will pledge I will not run as an independent. But — and I am discussing it with everybody, but I’m, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee."
58,BAIER,BAIER,uncategorized,"So tonight, you can’t say if another one of these…"
59,PAUL,PAUL,uncategorized,This is what’s wrong!
60,BAIER,BAIER,uncategorized,OK.
61,PAUL,PAUL,uncategorized,"I mean, this is what’s wrong. He buys and sells politicians of all stripes, he’s already…"
62,BAIER,BAIER,uncategorized,Dr. Paul.
63,PAUL,PAUL,uncategorized,"Hey, look, look! He’s already hedging his bet on the Clintons, OK? So if he doesn’t run as a Republican, maybe he supports Clinton, or maybe he runs as an independent…"
64,BAIER,BAIER,uncategorized,OK.
65,PAUL,PAUL,uncategorized,…but I’d say that he’s already hedging his bets because he’s used to buying politicians.
66,TRUMP,TRUMP,uncategorized,"Well, I’ve given him plenty of money."
67,BAIER,BAIER,uncategorized,"Just to be clear, you can’t make a — we’re gonna — we’re going to move on."
68,BAIER,BAIER,uncategorized,You’re not gonna make the pledge tonight?
69,TRUMP,TRUMP,uncategorized,I will not make the pledge at this time.
70,BAIER,BAIER,uncategorized,OK. Alright.
71,BAIER,BAIER,uncategorized,"(LAUGHTER, BOOING)"
72,KELLY,KELLY,uncategorized,"Gentlemen, our first round of questions is on the subject of electability in the general election, and we start tonight with you, Dr. Carson."
73,KELLY,KELLY,uncategorized,"You are a successful neurosurgeon, but you admit that you have had to study up on foreign policy, saying there’s a lot to learn."
74,KELLY,KELLY,uncategorized,"Your critics say that your inexperience shows. You’ve suggested that the Baltic States are not a part of NATO, just months ago you were unfamiliar with the major political parties and government in Israel, and domestically, you thought Alan Greenspan had been treasury secretary instead of federal reserve chair."
75,KELLY,KELLY,uncategorized,"Aren’t these basic mistakes, and don’t they raise legitimate questions about whether you are ready to be president?"
76,CARSON,CARSON,uncategorized,"Well, I could take issue with — with all of those things, but we don’t have time."
77,CARSON,CARSON,uncategorized,"But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and I’m looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly."
78,CARSON,CARSON,uncategorized,"So, you know, experience comes from a large number of different arenas, and America became a great nation early on not because it was flooded with politicians, but because it was flooded with people who understood the value of personal responsibility, hard work, creativity, innovation, and that’s what will get us on the right track now, as well."
79,WALLACE,WALLACE,uncategorized,"Senator Rubio, when Jeb Bush announced his candidacy for presidency, he said this “There’s no passing off responsibility when you’re a governor, no blending into the legislative crowd.”"
80,WALLACE,WALLACE,uncategorized,"Could you please address Governor Bush across the stage here, and explain to him why you, someone who has never held executive office, are better prepared to be president than he is, a man who you say did a great job running your state of Florida for eight years."
81,RUBIO,RUBIO,uncategorized,"Well, thank you for the question, Chris, and it’s great to be here tonight. Let me begin by saying this I’m not new to the political process; I was making a contribution as the speaker of the third largest and most diverse state in the country well before I even got into the Senate."
82,RUBIO,RUBIO,uncategorized,"I would add to that that this election cannot be a resume competition. It’s important to be qualified, but if this election is a resume competition, then Hillary Clinton’s gonna be the next president, because she’s been in office and in government longer than anybody else running here tonight."
83,RUBIO,RUBIO,uncategorized,"Here’s what this election better be about: This election better be about the future, not the past. It better be about the issues our nation and the world is facing today, not simply the issues we once faced."
84,RUBIO,RUBIO,uncategorized,"This country is facing an economy that has been radically transformed. You know, the largest retailer in the country and the world today, Amazon, doesn’t even own a single store? And these changes have been disruptive. They have changed people’s lives. The jobs that once sustained our middle class, they either don’t pay enough or they are gone, and we need someone that understands that as our nominee."
85,RUBIO,RUBIO,uncategorized,"If I’m our nominee, how is Hillary Clinton gonna lecture me about living paycheck to paycheck? I was raised paycheck to paycheck. How is she — how is she gonna lecture me — how is she gonna lecture me about student loans? I owed over $100,000 just four years ago."
86,RUBIO,RUBIO,uncategorized,"If I’m our nominee, we will be the party of the future."
87,BAIER,BAIER,uncategorized,"Governor Bush, you have insisted that you’re your own man. You say you have a life experience uniquely your own. Not your father’s, not your brother’s."
88,BAIER,BAIER,uncategorized,"But there are several opponents on this stage who get big- applause lines in early voting states with this line: quote, “the last thing the country needs is another Bush in the Oval Office.”"
89,BAIER,BAIER,uncategorized,So do you understand the real concern in this country about dynastic politics?
90,BUSH,BUSH,uncategorized,"Absolutely, I do, and I’m gonna run hard, run with heart, and run to win."
91,BUSH,BUSH,uncategorized,I’m gonna have to earn this. Maybe the barrier — the bar’s even higher for me. That’s fine.
92,BUSH,BUSH,uncategorized,"I’ve got a record in Florida. I’m proud of my dad, and I’m certainly proud of my brother. In Florida, they called me Jeb, because I earned it."
93,BUSH,BUSH,uncategorized,"I cut taxes every year, totaling $19 billion. We were — we had — we balanced every budget. We went from $1 billion of reserves to $9 billion of reserves."
94,BUSH,BUSH,uncategorized,We were one of two states that went to AAA bond rating.
95,BUSH,BUSH,uncategorized,"They keep — they called me Veto Corleone. Because I vetoed 2,500 separate line-items in the budget."
96,BUSH,BUSH,uncategorized,(APPLAUSE)
97,BUSH,BUSH,uncategorized,"I am my own man. I governed as a conservative, and I govern effectively. And the net effect was, during my eight years, 1.3 million jobs were created. We left the state better off because I applied conservative principles in a purple state the right way, and people rose up."
